Symbol,Name,"10Y %Chg",Last,Change,%Chg,"10Y Chg","10Y High","10Y Low","Avg Vol",Time
DCTH,"Delcath Systems Inc.",-99.78%,10.9,0.04,+0.37%,-5029.14,8316,3.22,31890,09/16/20
ONCT,"Oncternal Therapeutics Inc",-99.12%,2.14,0.01,+0.47%,-238.67,506.8,1.96,118590,09/16/20
LMNL,"Liminal Biosciences Inc.",-83.47%,12.59,0.04,+0.32%,-71.35,2773.9,5.25,164850,09/16/20
AHT,"Ashford Hospitality Trust Inc",-97.61%,2.07,-0.09,-4.17%,-88.34,143.2,1.78,655685,09/16/20
SLS,"Sellas Life Sciences Group Inc",-100.00%,2.2,0.1,+4.76%,-85497.9,233100,1.46,227280,09/16/20
BLIN,"Bridgeline Digital",-99.87%,1.98,-0.05,-2.46%,-1522.97,4050,0.53,289005,09/16/20
CPE,"Callon Petroleum Company",-88.63%,6.09,0.46,+8.17%,-43.87,185.3,3.8,3051275,09/16/20
SQBG,"Sequential Brands",-90.07%,5.28,-0.08,-1.49%,-48.64,743.6,4.11,83270,09/16/20
ACER,"Acer Therapeutics Inc",-99.51%,2.57,0.1,+4.05%,-504.27,990.29,1.08,253495,09/16/20
SFUN,"Fang Holdings Ltd.",-93.43%,10.98,0.27,+2.52%,-152.24,997.2,8.1,10190,09/16/20
NBR,"Nabors Industries",-96.78%,29.3,0.19,+0.65%,-873.89,1623.5,9.79,477980,09/16/20
VET,"Vermilion Energy Inc",-92.18%,3.25,0.33,+11.30%,-34.43,72.69,1.5,1006015,09/16/20
SCON,"Superconductor Tech",-99.99%,2.41,-0.04,-1.63%,-30597.55,75420,1.22,1078690,09/16/20
SCOR,"Comscore Inc",-90.56%,2.32,0.1,+4.50%,-21.3,65,1.43,388920,09/16/20
OIS,"Oil States International",-92.76%,3.68,0.31,+9.20%,-43.18,113.64,1.52,795540,09/16/20
CYCC,"Cyclacel Pharmaceuti",-99.88%,3.46,0.01,+0.29%,-2886.15,3276,3.23,117045,09/16/20
ABEO,"Abeona Therapeutics",-97.94%,1.89,-0.12,-5.97%,-95.49,169,1.35,733010,09/16/20
RAIL,"Freightcar America",-90.37%,2.15,-0.22,-9.28%,-22.23,37.48,0.73,283865,09/16/20
PSTV,"Plus Therapeutics Inc",-99.99%,3.14,0.11,+3.63%,-36671.97,63300,0.93,2450180,09/16/20
YTEN,"Yield10 Bioscience Inc",-99.98%,7.25,-0.16,-2.16%,-30184.59,36936,3.5,3752840,09/16/20
ACY,"Aerocentury Corp",-86.79%,2.21,-0.04,-1.78%,-14.78,24,0.71,9160,09/16/20
MAC,"Macerich Company",-81.56%,7.78,0.31,+4.15%,-33.05,90.5,4.54,4626875,09/16/20
OXY,"Occidental Petroleum Corp",-86.32%,11.64,0.93,+8.68%,-67.59,117.89,9,25557951,09/16/20
QUAD,"Quad Graphics Inc",-93.26%,3.14,-0.0099999999999998,-0.32%,-43.57,46.69,2,113740,09/16/20
FLR,"Fluor Corp",-82.15%,9.25,0.41,+4.64%,-40.69,83.93,2.85,2320985,09/16/20
DSS,"Document Security Systems",-98.63%,5.62,0.05,+0.90%,-400.03,720,3.68,406590,09/16/20
BCDA,"Biocardia Inc",-94.49%,2.31,-0.07,-2.74%,-40.82,138.24,2.01,114040,09/16/20
ARLP,"Alliance Resource Pt",-88.79%,3.23,-0.04,-1.22%,-25.9,53.84,2.7,466830,09/16/20
OVV,"Ovintiv Inc.",-93.95%,10.15,1,+10.93%,-142,176.1,2.1,3698480,09/16/20
JAKK,"Jakks Pacific Inc",-97.67%,4.28,0.17,+4.14%,-172.29,212,3,311620,09/16/20
AYRO,"Ayro Inc.",-100.00%,2.85,0.03,+1.06%,-63013.98,63386.4,1.8,1118335,09/16/20
OII,"Oceaneering International",-84.44%,4.42,0.23,+5.49%,-22.74,87.64,2.01,1301485,09/16/20
CLB,"Core Laboratories N.V.",-79.45%,19,0.91,+5.03%,-69.95,221,6.68,410295,09/16/20
AMRX,"Amneal Pharmaceuticals Inc",-79.60%,4.23,0.19,+4.70%,-15.76,52.1,2.27,1029160,09/16/20
XAN,"Exantas Capital Corp",-91.57%,2.09,-0.05,-2.34%,-23.26,30.8,0.95,639650,09/16/20
APDN,"Applied Dna Scns",-92.61%,8.41,0.25,+3.06%,-102.24,732,2.52,296295,09/16/20
TEN,"Tenneco Automotive",-71.00%,7.86,-0.54,-6.43%,-20.57,70.96,2.21,785820,09/16/20
BPTH,"Bio-Path Holdings",-94.60%,4.11,-0.21,-4.86%,-75.68,1050,1.61,398815,09/16/20
ACHV,"Achieve Life Sciences Inc",-99.97%,9.98,0.08,+0.81%,-32660.1,44000,4.51,263755,09/16/20
IRS,"Irsa Inversiones Y Representaciones S.A.",-79.45%,3,-0.04,-1.32%,-11.75,32.97,2.77,61365,09/16/20
CORR,"Corenergy Infrastructure Trust Inc",-76.11%,7.08,0.39,+5.83%,-21.31,49.75,6.58,302395,09/16/20
DRAD,"Digirad Corp",-86.23%,2.83,0.02,+0.71%,-17.59,69.2,1.99,165735,09/16/20
ESEA,"Euroseas Ltd",-99.30%,2.27,0.04,+1.92%,-316.97,422.4,1.23,202745,09/16/20
VRME,"Verifyme Inc",-89.21%,3.48,-0.19,-5.18%,-34.58,2125,1.75,116570,09/16/20
APEX,"Apex Global Brands Inc",-98.95%,5.53,-0.19,-3.32%,-541.48,891.6,2.6,133079,09/16/20
FCEL,"Fuelcell Energy Inc",-98.63%,2.5,0.08,+3.31%,-174.7,682.56,0.13,15605149,09/16/20
GEL,"Genesis Energy LP",-79.29%,4.94,0.07,+1.44%,-18.65,57.47,2.58,1519655,09/16/20
PTEN,"Patterson-Uti Energy",-80.74%,3.49,0.2,+6.08%,-13.79,38.43,1.61,2880275,09/16/20
ENDP,"Endo Int'l Plc",-90.85%,3.16,0.12,+3.95%,-30.2,96.58,1.97,3639500,09/16/20
DHC,"Diversified Healthcare Trust",-83.13%,3.83,-0.13,-3.40%,-19.53,29.99,2,1245995,09/16/20
PCG,"Pacific Gas & Electric Company",-78.47%,9.79,0.0099999999999998,+0.10%,-35.64,71.57,3.55,22030064,09/16/20
IVR,"Invesco Mortgage Capital Inc",-84.59%,2.92,0.07,+2.46%,-15.64,20.69,1.56,5980560,09/16/20
QUIK,"Quicklogic Corp",-95.87%,3.06,0.1,+3.38%,-68.72,100.8,2.12,85655,09/16/20
CREG,"China Recycling Ener",-99.19%,2.51,-0.01,-0.40%,-310.48,605,1.6,204170,09/16/20
CRESY,"Cresud Sacif ADR",-81.11%,2.95,-0.08,-2.64%,-13.01,23.69,2.32,179920,09/16/20
MRO,"Marathon Oil Corp",-86.89%,4.56,0.22,+5.07%,-28.76,54.33,3.02,25082244,09/16/20
SGLB,"Sigma Labs Inc",-97.92%,2.19,0.11,+5.29%,-97.92,1600,1.97,3819315,09/16/20
MVO,"Mv Oil Trust",-91.67%,2.46,-0.04,-1.60%,-27.48,46.76,1.76,33255,09/16/20
SSL,"Sasol Ltd",-82.47%,8.41,0.56,+7.13%,-36.94,60.8,1.25,1464965,09/16/20
USAP,"Universal Stainles",-74.02%,6.38,0,0.00%,-18.18,52.7,5.84,33215,09/16/20
BCOM,"B Communications Ltd",-91.43%,2.19,-0.04,-1.71%,-23.36,39.79,0.52,23095,09/04/20
IDXG,"Interpace Diag Group",-99.61%,3.27,-0.1,-2.97%,-870.63,1178,2.57,257035,09/16/20
AVEO,"Aveo Pharmaceuticals",-94.83%,6.16,0.4,+6.94%,-105.64,215.5,2.23,557845,09/16/20
CGA,"China Green Agriculture",-97.54%,2.58,-0.0099999999999998,-0.39%,-102.77,125.88,1.8,18050,09/16/20
NMM,"Navios Maritime Partners LP",-97.79%,6.41,0.26,+4.23%,-272.55,323.4,4.08,79070,09/16/20
WES,"Western Midstream Partners LP",-71.73%,8.05,0.39,+5.09%,-19.44,66.24,2.9,1599425,09/16/20
FTI,"Technipfmc Plc",-80.03%,7.33,0.51,+7.48%,-27.33,63.92,4.49,4952255,09/16/20
LJPC,"LA Jolla Pharma",-97.41%,5.02,0.49,+10.82%,-170.47,210,0.1,460715,09/16/20
DVN,"Devon Energy Corp",-85.74%,9.76,0.53,+5.74%,-55.51,93.56,4.7,7064200,09/16/20
X,"United States Steel Corp",-82.85%,7.76,0.24,+3.19%,-36.32,64.03,4.54,7615920,09/16/20
NOV,National-Oilwell,-71.74%,11.93,0.61,+5.39%,-28.74,86.55,8,3955245,09/16/20
IPI,"Intrepid Potash Inc",-96.49%,8.96,-0.19,-2.08%,-251.55,402.2,6,149185,09/16/20
ARMP,"Armata Pharmaceuticals Inc",-99.87%,3.62,0,0.00%,-2796.38,5180,0.7,11240,09/16/20
APA,"Apache Corp",-87.79%,12.5,0.56,+4.69%,-85.82,134.13,3.8,7750880,09/16/20
AI,"Arlington Asset Investment Corp",-88.42%,2.77,0.07,+2.59%,-20.61,32.63,1.4,228610,09/16/20
CMCT,"Cim Commercial TR Cp",-91.75%,11.31,0.59,+5.50%,-119.18,153.6,6.27,21090,09/16/20
PAA,"Plains All American Pipeline LP",-78.19%,7.08,0.22,+3.21%,-24.59,61.09,3,4812380,09/16/20
ERJ,"Embraer-Empresa Brasileira DE Aeronautica",-81.97%,5.23,0.11,+2.15%,-23.27,40.52,3.99,2089640,09/16/20
SKT,"Tanger Factory Outlet Centers",-73.27%,6.5,0.2,+3.17%,-17.27,42.2,4.05,2572900,09/16/20
ESTE,"Earthstone Energy",-78.09%,2.62,0.1,+3.97%,-8.98,37.21,1.44,158835,09/16/20
IDRA,"Idera Pharmaceuticals",-91.19%,2.47,0.15,+6.47%,-24,54.96,0.81,304215,09/16/20
BKD,"Brookdale Senior Living Inc",-81.85%,2.83,-0.13,-4.39%,-13.35,39.89,1.47,1556665,09/16/20
CVU,"CPI Aerostructures",-74.10%,2.5,-0.09,-3.47%,-7.41,16.42,1.29,96365,09/16/20
ITCB,"Itau Corpbanca",-79.09%,4.51,-0.17,-3.63%,-17.71,28.35,3.01,24965,09/16/20
GIFI,"Gulf Island Fab",-83.85%,3.13,0.19,+6.46%,-15.26,36,2.67,25955,09/16/20
DAC,"Danaos Corp",-90.29%,6.63,0.61,+10.13%,-56,110.18,2.5,168345,09/16/20
NBL,"Noble Energy Inc",-75.98%,9.32,0.3,+3.33%,-28.52,79.63,2.73,16938090,09/16/20
LTBR,"Lightbridge Corp",-98.96%,3.8,0.13,+3.54%,-350.33,433.2,1.71,60885,09/16/20
ORN,"Orion Group Holdings Inc",-79.21%,2.62,0.04,+1.55%,-9.83,15.88,1.53,187980,09/16/20
ALIM,"Alimera Sciences Inc",-96.08%,5.55,-0.07,-1.25%,-137.93,190.5,2.86,26485,09/16/20
YPF,"Ypf Sociedad Anonima",-86.87%,4.85,-0.27,-5.27%,-33.87,55.8,2.25,948580,09/16/20
PBT,"Permian Basin Royalty Trust",-86.36%,2.77,0.08,+2.97%,-17.03,23.74,2.38,105475,09/16/20
HLX,"Helix Energy Solutions Group",-71.36%,3.09,-0.1,-3.13%,-7.95,28,0.99,2208605,09/16/20
FCRD,"First Eagle Alt Capital Bdc Inc.",-75.30%,2.87,-0.04,-1.37%,-8.87,17,1.56,44500,09/16/20
OPI,"Office Properties Income Trust",-78.31%,23.31,0.15,+0.65%,-83.64,113.12,16.5,209705,09/16/20
FOSL,"Fossil Group",-86.06%,8.46,0.96,+12.80%,-46.29,139.2,2.69,1348065,09/16/20
MUR,"Murphy Oil Corp",-83.75%,10.75,0.69,+6.86%,-51.86,78.16,4.5,5100940,09/16/20
OXSQ,"Oxford Square Capital Corp",-75.27%,2.5,-0.06,-2.34%,-7.79,13.11,2.04,225175,09/16/20
CPLP,"Capital Product Part",-88.32%,6.86,0.1,+1.48%,-51.13,81.41,5.18,133915,09/16/20
TS,"Tenaris S.A.",-72.12%,11.28,0.57,+5.32%,-27.71,51.07,9.1,1585815,09/16/20
OCN,"Ocwen Financial Corp",-85.58%,21.4,-0.54,-2.46%,-130.16,902.7,4.22,79810,09/16/20
TAOP,"Taoping Inc",-90.08%,2.75,-0.15,-5.17%,-26.32,44.94,1.86,952375,09/16/20
HWCC,"Houston Wire Cable",-71.88%,2.86,0.04,+1.42%,-7.21,18,1.67,34325,09/16/20
ATI,"Allegheny Technologies Inc",-80.41%,9.65,0.55,+6.04%,-37.35,73.53,4.95,1872230,09/16/20
CEQP,"Crestwood Equity Partners LP",-96.70%,13.77,0.67,+5.11%,-383.4,427.5,2.65,644915,09/16/20
PRPO,"Precipio Inc",-99.90%,2.09,-0.08,-3.69%,-2157.83,9990,0.55,2006700,09/16/20
TGI,"Triumph Group",-79.62%,8.27,0.67,+8.82%,-29.69,85.5,3.02,1708965,09/16/20
AMRS,"Amyris Inc",-98.99%,2.74,0.12,+4.58%,-256.13,509.85,1.4,3283285,09/16/20
TK,"Teekay Shipping Corp",-90.95%,2.49,0.07,+2.89%,-24.31,67.98,2.04,541100,09/16/20
NCMI,"National Cinemedia",-79.94%,3.49,-0.1,-2.65%,-14.31,20.28,1.62,1098215,09/16/20
NRP,"Natural Resource Partners LP",-95.84%,11.75,0.6,+5.38%,-256.65,378,5,17915,09/16/20
GOGL,"Golden Ocean Gp",-96.26%,3.56,0.03,+0.85%,-90.97,129,2.52,229090,09/16/20
NRT,"North European Oil Royality Trust",-88.32%,3.16,0.04,+1.28%,-23.6,35,2.19,28350,09/16/20
LOV,"Spark Networks Plc",-88.10%,4.6,0,0.00%,-34.04,111.24,1.8,63240,09/16/20
VHI,"Valhi Inc",-81.66%,15.05,0.16,+1.07%,-66.31,260.28,9.02,29420,09/16/20
CDOR,"Condor Hospitality T",-93.91%,4.04,0.02,+0.50%,-62.02,104,2.76,13575,09/16/20
PLM,"Polymet Mining",-82.23%,3.6,0.01,+0.28%,-16.61,26.5,1.5,6182998,09/16/20
TEVA,"Teva Pharmaceutical Industries Ltd",-82.64%,9.19,0.029999999999999,+0.33%,-43.59,72.31,6.07,9129625,09/16/20
CLMT,"Calumet Specialty Pr",-87.07%,2.61,0.06,+2.35%,-17.17,40.25,0.82,144040,09/16/20
NWG,"Natwest Group Plc",-82.67%,2.65,0.08,+3.11%,-12.26,15.83,2.45,1121475,09/16/20
CAPR,"Capricor Therap",-98.51%,4.8,0.12,+2.56%,-310.32,510,0.88,1223910,09/16/20
CRT,"Cross Timbers Royalty Trust",-82.68%,6.2,0.02,+0.32%,-29.48,51,4.01,20510,09/16/20
SAN,"Banco Santander",-83.25%,2.12,0,0.00%,-10.54,13.52,1.9,8098900,09/16/20
ARR,"Armour Residential R",-82.69%,9.82,0.1,+1.03%,-46.44,66.64,4.95,862835,09/16/20
